iter	Passed	Remaining
883	2385	312
884	2386	310
885	2387	307
886	2389	304
887	2390	301
888	2392	298
889	2393	295
890	2395	293
891	2398	290
892	2400	287
893	2401	284
894	2403	281
895	2404	279
896	2406	276
897	2407	273
898	2409	270
899	2410	267
900	2413	265
901	2415	262
902	2416	259
903	2418	256
904	2419	254
905	2421	251
906	2422	248
907	2424	245
908	2425	242
909	2428	240
910	2429	237
911	2431	234
912	2432	231
913	2434	229
914	2435	226
915	2436	223
916	2438	220
917	2439	217
918	2442	215
919	2443	212
920	2445	209
921	2446	206
922	2448	204
923	2449	201
924	2450	198
925	2452	195
926	2453	193
927	2455	190
928	2456	187
929	2458	185
930	2459	182
931	2461	179
932	2462	176
933	2464	174
934	2465	171
935	2468	168
936	2470	166
937	2471	163
938	2473	160
939	2475	157
940	2476	155
941	2478	152
942	2479	149
943	2481	147
944	2483	144
945	2485	141
946	2486	139
947	2488	136
948	2489	133
949	2491	131
950	2492	128
951	2494	125
952	2496	123
953	2498	120
954	2499	117
955	2501	115
956	2502	112
957	2503	109
958	2505	107
959	2506	104
960	2508	101
961	2510	99
962	2512	96
963	2513	93
964	2515	91
965	2516	88
966	2518	85
967	2519	83
968	2521	80
969	2522	78
970	2525	75
971	2527	72
972	2529	70
973	2530	67
974	2532	64
975	2533	62
976	2534	59
977	2536	57
978	2537	54
979	2541	51
980	2542	49
981	2544	46
982	2545	44
983	2547	41
984	2548	38
985	2550	36
986	2551	33
987	2552	31
988	2556	28
989	2557	25
990	2559	23
991	2561	20
992	2562	18
993	2564	15
994	2566	12
995	2567	10
996	2571	7
997	2572	5
998	2574	2
999	2575	0
